"English","Compound","B1","B2","B3","B4","B5","L1","L2","L3","L4","L5","Izaki Reading","Izaki Reading","Reading
(obsolete)"
"Adopted child","??","?","?","","","","y?n","tsi","","","","y?ntsi","","ja?n?e"
"proton","??","?","?","","","","y?n","tsi","","","","y?ntsi","","ja?n?e"
"adoptive parents","??","?","?","","","","y?n","shin","","","","y?nshin","","ja?n?in"
"Yoharu","??","?","?","","","","y?n","tsun","","","","y?ntsun","","ja?n?un"
"pig farming","??","?","?","","","","y?n","ton","","","","y?nton","","ja?nton"
"sheep head","??","?","?","","","","y?n","tu","","","","y?ntu","","ja?ntu"
"solar calendar","??","?","?","","","","y?n","reki","","","","y?nreki","","ja?n?"
"Yokan","??","?","?","","","","y?n","","","","","y?n","","ja?n?"
"beekeeping","??","?","?","","","","y?n","h?n","","","","y?nh?n","","ja?n?"
"wild horse","??","?","?","","","","ya","ma","","","","yama","","jaba"
"opposition party","??","?","?","","","","ya","t?n","","","","yat?n","","jada?n"
"night school","??","?","?","","","","ya","","","","","ya","","jahaku"
"Night camp","??","?","?","","","","ya","ein","","","","yaein","","jajei"
"camping","??","?","?","","","","ya","ein","","","","yaein","","jajei"
"Noai","??","?","?","","","","ya","k?","","","","yak?","","jaka?"
"Night watchman","??","?","?","","","","ya","kei/k?n","","","","yakei/k?n","","jakei"
"stray dog","??","?","?","","","","ya","ken","","","","yaken","","jaken"
"Night air","??","?","?","","","","ya","ki","","","","yaki","","jaki"
"Translation","??","?","?","","","","yoki","hon/pon","","","","yokihon/pon","","jakipon"
"translated poems","??","?","?","","","","yoki","shi","","","","yokishi","","jaki?i"
"Translation","??","?","?","","","","yoki","shus","","","","yokishus","","jaki?us"
"Translation","??","?","?","","","","yoki","doku","","","","yokidoku","","jakitoku"
"Translation note","??","?","?","","","","yoki","chu","","","","yokichu","","jaki?u"
"buffalo","??","?","?","","","","ya","gu","","","","yagu","","jakju"
"nocturne","??","?","?","","","","ya","kuku","","","","yakuku","","jakjuku"
"about","?","?","","","","","yaku","#NUM!","","","","yaku","","jaku"
"baseball","??","?","?","","","","ya","gyu","","","","yagyu","","jaku"
"Role","?","?","","","","","yoki","#NUM!","","","","yoki","","jaku"
"workhorse","??","?","?","","","","yoki","ma","","","","yokima","","jakuba"
"treaty","??","?","?","","","","yaku","j?","","","","yakuj?","","jaku?o"
"Pharmacy","??","?","?","","","","yaku","","","","","yaku","","jakuhaku"
"chemical solution","??","?","?","","","","yaku","eki","","","","yakueki","","jakujeku"
"Medicinal","??","?","?","","","","yaku","y?","","","","yakuy?","","jakujo?"
"Drug prices","??","?","?","","","","yaku","ka","","","","yakuka","","jakuka"
"Pharmacy","??","?","?","","","","yaku","ka","","","","yakuka","","jakuka"
"Yaken","??","?","?","","","","yaku","ken","","","","yakuken","","jakuken"
"Role name","??","?","?","","","","yoki","mei/my?n","","","","yokimei/my?n","","jakumei"
"condiments","??","?","?","","","","yaku","mi","","","","yakumi","","jakumi"
"prescription","??","?","?","","","","yaku","p?n","","","","yakup?n","","jakupo?"
"servant","??","?","?","","","","yoki","fu","","","","yokifu","","jakupu"
"Simplify","??","?","?","","","","yaku","pun","","","","yakupun","","jakupun"
"Pharmacology","??","?","?","","","","yaku","ri","","","","yakuri","","jakuri"
"promise","??","?","?","","","","yaku","suku","","","","yakusuku","","jakusoku"
"actor","??","?","?","","","","yoki","sha","","","","yokisha","","jaku?a"
"Pharmaceutical Affairs","??","?","?","","","","yaku","tsi","","","","yakutsi","","jaku?i"
"government office","??","?","?","","","","yoki","sho","","","","yokisho","","jaku?o"
"drug type","??","?","?","","","","yaku","tsu","","","","yakutsu","","jaku?u"
"Government house","??","?","?","","","","yoki","taku","","","","yokitaku","","jakutaku"
"pharmacy","??","?","?","","","","yaku","ten","","","","yakuten","","jakuten"
"perks of the job","??","?","?","","","","yoki","tuku","","","","yokituku","","jakutoku"
"Medicine King","??","?","?","","","","yaku","ou","","","","yakuou","","jakuwa?n"
"Herb Garden","??","?","?","","","","yaku","wen","","","","yakuwen","","jakuwen"
"board member","??","?","?","","","","yoki","win","","","","yokiwin","","jakuwin"
"medicinal materials","??","?","?","","","","yaku","zai","","","","yakuzai","","jakuzai"
"priest","??","?","?","","","","yoki","s?n","","","","yokis?n","","jakuzo?"
"official","??","?","?","","","","yoki","zhin","","","","yokizhin","","jaku?in"
"Medicinal effects","??","?","?","","","","yaku","kyo","","","","yakukyo","","jakukyo"
"cartridges","??","?","?","","","","yaku","h?","","","","yakuh?","","jaku?"
"Medicinal bath","??","?","?","","","","yaku","t?n","","","","yakut?n","","jakuto?n"
"drug rash","??","?","?","","","","yaku","","","","","yaku","","jaku?"
"medicinal food","??","?","?","","","","yaku","sen","","","","yakusen","","jaku?"
"cartridge","??","?","?","","","","yaku","","","","","yaku","","jaku?"
"Medicinal bait","??","?","?","","","","yaku","ni","","","","yakuni","","jaku?"
"evening party","??","?","?","","","","ya","kwi","","","","yakwi","","jakwi"
"night light","??","?","?","","","","ya","kw?","","","","yakw?","","jakwo?"
"Night Shadow","??","?","?","","","","ya","win","","","","yawin","","jao?n"
"field gun","??","?","?","","","","ya","h?","","","","yah?","","japo?"
"night","??","?","?","","","","ya","pun","","","","yapun","","japun"
"night thoughts","??","?","?","","","","ya","s?n","","","","yas?n","","jasa?n"
"night run","??","?","?","","","","ya","sau","","","","yasau","","jaso"
"fielder","??","?","?","","","","ya","shu","","","","yashu","","ja?u"
"Night Battle","??","?","?","","","","ya","chen","","","","yachen","","ja?en"
"wildflowers","??","?","?","","","","ya","ts?","","","","yats?","","ja?o"
"night rain","??","?","?","","","","ya","u","","","","yau","","jau"
"night talk","??","?","?","","","","ya","hwa","","","","yahwa","","jawa"
"wildling","??","?","?","","","","ya","zhin","","","","yazhin","","ja?in"
"hare","??","?","?","","","","ya","","","","","ya","","ja?"
"vulgarity","??","?","?","","","","ya","pi","","","","yapi","","ja?"
"evening banquet","??","?","?","","","","ya","en","","","","yaen","","ja?"
"bedwetting","??","?","?","","","","ya","ny?","","","","yany?","","ja?"
"Unsophisticated","??","?","?","","","","ya","bo","","","","yabo","","ja?"
"Wild monkeys","??","?","?","","","","ya","?n","","","","ya?n","","ja?"
"night thief","??","?","?","","","","ya","t?","","","","yat?","","jato?"
"Bandit","??","?","?","","","","ya","t?","","","","yat?","","jato?"
"vegetables","??","?","?","","","","ya","tsai","","","","yatsai","","ja?"
"night attack","??","?","?","","","","ya","ts?s","","","","yats?s","","ja?"
"Wild hobby","??","?","?","","","","ya","swi","","","","yaswi","","ja?"
"Yaro","??","?","?","","","","ya","r?n","","","","yar?n","","ja?"
"Teito Rapid Transit Authority","??","?","?","","","","ein","dan","","","","eindan","","jeidan"
"gate","??","?","?","","","","ein","mun","","","","einmun","","jeimun"
"Inside the barracks","??","?","?","","","","ein","nae","","","","einnae","","jeinae"
"Farming","??","?","?","","","","ein","n?n","","","","einn?n","","jeino?"
"Barracks","??","?","?","","","","ein","sha","","","","einsha","","jei?a"
"camp","??","?","?","","","","ein","sho","","","","einsho","","jei?o"
"guardhouse","??","?","?","","","","ein","ts?n","","","","eints?n","","jei?a?n"
"garden","??","?","?","","","","ein","tei","","","","eintei","","jei?ei"
"sales","??","?","?","","","","ein","wya","","","","einwya","","jeiwja"
"Construction","??","?","?","","","","ein","zou","","","","einzou","","jei?o?n"
"nesting","??","?","?","","","","ein","zau","","","","einzau","","jei?"
"activity","??","?","?","","","","ein","i","","","","eini","","jei?"
"Maintenance","??","?","?","","","","ein","sen","","","","einsen","","jei?"
"Liquid","??","?","?","","","","eki","zh?n","","","","ekizh?n","","jeku?a?n"
"Ekiden","??","?","?","","","","yeku","den","","","","yekuden","","jeku?en"
"in liquid","??","?","?","","","","eki","ju","","","","ekiju","","jeku?u"
"Station","??","?","?","","","","yeku","ka","","","","yekuka","","jekuka"
"liquefaction","??","?","?","","","","eki","kwa","","","","ekikwa","","jekukwa"
"berries","??","?","?","","","","eki","ka","","","","ekika","","jekukwa"
"Station husband","??","?","?","","","","yeku","fu","","","","yekufu","","jekupu"
"Station Road","??","?","?","","","","yeku","ro","","","","yekuro","","jekuro"
"Stationmaster","??","?","?","","","","yeku","ch?n","","","","yekuch?n","","jeku?a?n"
"liquid","??","?","?","","","","eki","tai","","","","ekitai","","jeku?e"
"station","??","?","?","","","","yeku","tu","","","","yekutu","","jekutu"
"Liquid","??","?","?","","","","eki","che","","","","ekiche","","jekuzai"
"liquid fertilizer","??","?","?","","","","eki","pi","","","","ekipi","","jeku?"
"vacuole","??","?","?","","","","eki","p?","","","","ekip?","","jeku?"
"train station","??","?","?","","","","yeku","chei","","","","yekuchei","","jeku?"
"Station bell","??","?","?","","","","yeku","ry?n","","","","yekury?n","","jeku?"
"Far-reaching","??","?","?","","","","wen","dai","","","","wendai","","jendai"
"assistance","??","?","?","","","","wen","jo","","","","wenjo","","jen?o"
"farsightedness","??","?","?","","","","wen","gan","","","","wengan","","jengan"
"Reinforcements","??","?","?","","","","wen","p?n","","","","wenp?n","","jenhei"
"distant cause","??","?","?","","","","wen","in","","","","wenin","","jenin"
"far sea","??","?","?","","","","wen","y?n","","","","weny?n","","jenjo?n"
"distant view","??","?","?","","","","wen","kei","","","","wenkei","","jenkei"
"compensated dating","??","?","?","","","","wen","kyo","","","","wenkyo","","jenko?"
"far country","??","?","?","","","","wen","kuku","","","","wenkuku","","jenkuku"
"far away","??","?","?","","","","wen","rai","","","","wenrai","","jenlai"
"distant current","??","?","?","","","","wen","ry?n","","","","wenry?n","","jenljun"
"long journey","??","?","?","","","","wen","ro","","","","wenro","","jenlo"
"distant view","??","?","?","","","","wen","m?n","","","","wenm?n","","jenma?n"
"agricultural aid","??","?","?","","","","wen","n?n","","","","wenn?n","","jenno?"
"distant thunder","??","?","?","","","","wen","rwai","","","","wenrwai","","jenlai"
"distant ancestor","??","?","?","","","","wen","so","","","","wenso","","jenso"
"field trip","??","?","?","","","","wen","suku","","","","wensuku","","jensoku"
"farsightedness","??","?","?","","","","wen","shi","","","","wenshi","","jen?i"
"far island","??","?","?","","","","wen","t?","","","","went?","","jento"
"courtier","??","?","?","","","","tei","jin","","","","teijin","","jen?in"
"bailiff","??","?","?","","","","tei","ri","","","","teiri","","jen?i"
"Anniversary","??","?","?","","","","wen","ki","","","","wenki","","jen?"
"refrain","??","?","?","","","","wen","ryo","","","","wenryo","","jen?"
"distant relative","??","?","?","","","","wen","seki","","","","wenseki","","jen?"
"consent","??","?","?","","","","yen","nyaku","","","","yennyaku","","jen?"
"foresight","??","?","?","","","","wen","b?","","","","wenb?","","jen?"
"pleasure","??","?","?","","","","yes","raku","","","","yesraku","","jesraku"
"Toilet","??","?","?","","","","y?","b?n","","","","y?b?n","","jo?bi?n"
"business meeting","??","?","?","","","","y?","tan","","","","y?tan","","jo?dan"
"usage","??","?","?","","","","y?","do","","","","y?do","","jo?do"
"main road","??","?","?","","","","y?","d?","","","","y?d?","","jo?do?"
"leaf-like","??","?","?","","","","?s","zh?n","","","","?szh?n","","jo??a?n"
"script","??","?","?","","","","y?","zhi","","","","y?zhi","","jo??i"
"term","??","?","?","","","","y?","go","","","","y?go","","jo?go"
"term","??","?","?","","","","y?","yon","","","","y?yon","","jo?gon"
"errands","??","?","?","","","","y?","p?n","","","","y?p?n","","jo?hei"
"interception","??","?","?","","","","y?","geki","","","","y?geki","","jo?hjeku"
"stronghold","??","?","?","","","","y?","koi","","","","y?koi","","jo?hwai"
"Usufruct","??","?","?","","","","y?","iki","","","","y?iki","","jo?iki"
"factor","??","?","?","","","","y?","in","","","","y?in","","jo?in"
"equipment","??","?","?","","","","y?","ki","","","","y?ki","","jo?ki"
"money","??","?","?","","","","y?","kin","","","","y?kin","","jo?kin"
"Important port","??","?","?","","","","y?","k?","","","","y?k?","","jo?ko?"
"Requirements","??","?","?","","","","y?","ken","","","","y?ken","","jo?kon"
"request","??","?","?","","","","y?","kyu","","","","y?kyu","","jo?ku"
"request","??","?","?","","","","y?","m?n","","","","y?m?n","","jo?ma?n"
"leaf vein","??","?","?","","","","?s","myaku","","","","?smyaku","","jo?mjaku"
"Order","??","?","?","","","","y?","mei/my?n","","","","y?mei/my?n","","jo?mjei"
"Business","??","?","?","","","","y?","mu","","","","y?mu","","jo?mu"
"requirements","??","?","?","","","","y?","mu","","","","y?mu","","jo?mu"
"lumber","??","?","?","","","","y?","moku","","","","y?moku","","jo?muku"
"Main points","??","?","?","","","","y?","moku","","","","y?moku","","jo?muku"
"Offshore","??","?","?","","","","y?n","?i","","","","y?n?i","","jo?n?i"
"Western bank","??","?","?","","","","y?n","k?/gy?n/sh?n","","","","y?nk?/gy?n/sh?n","","jo?ngjo?"
"Western studies","??","?","?","","","","y?n","","","","","y?n","","jo?nhaku"
"clothes","??","?","?","","","","y?n","fuku","","","","y?nfuku","","jo?nhuku"
"Western dog","??","?","?","","","","y?n","ken","","","","y?nken","","jo?nken"
"Western affairs","??","?","?","","","","y?n","mu","","","","y?nmu","","jo?nmu"
"Western goods","??","?","?","","","","y?n","pin","","","","y?npin","","jo?npin"
"Western talent","??","?","?","","","","y?n","sai","","","","y?nsai","","jo?nsai"
"Western calculation","??","?","?","","","","y?n","san","","","","y?nsan","","jo?nsan"
"Western clothing","??","?","?","","","","y?n","s?","","","","y?ns?","","jo?nso?"
"Western paper","??","?","?","","","","y?n","zhi","","","","y?nzhi","","jo?n?i"
"Style","??","?","?","","","","y?/y?n","shiki","","","","y?/y?nshiki","","jo?n?iki"
"Western-style room","??","?","?","","","","y?n","shis","","","","y?nshis","","jo?n?is"
"Mesophyll","??","?","?","","","","?s","nuku","","","","?snuku","","jo?nuku"
"German silver","??","?","?","","","","y?n","k?n","","","","y?nk?n","","jo?nwen"
"Western liquor","??","?","?","","","","y?n","shu","","","","y?nshu","","jo?n?u"
"Western lamp","??","?","?","","","","y?n","t?n","","","","y?nt?n","","jo?nta?n"
"Western hairstyle","??","?","?","","","","y?n","pas","","","","y?npas","","jo?n?"
"Necessity","??","?","?","","","","y?","fu","","","","y?fu","","jo?pi"
"supplies","??","?","?","","","","y?","pin","","","","y?pin","","jo?pin"
"How to use","??","?","?","","","","y?","p?n","","","","y?p?n","","jo?po?"
"Handbook","??","?","?","","","","y?","ran","","","","y?ran","","jo?ran"
"Procedure","??","?","?","","","","y?","ry?n","","","","y?ry?n","","jo?rja?n"
"dose","??","?","?","","","","y?","ry?n","","","","y?ry?n","","jo?rjo"
"Summary","??","?","?","","","","y?","ruku","","","","y?ruku","","jo?rjoku"
"Leaf green","??","?","?","","","","?s","ryuku","","","","?sryuku","","jo?rjuku"
"key route","??","?","?","","","","y?","ro","","","","y?ro","","jo?ro"
"Key points","??","?","?","","","","y?","ron","","","","y?ron","","jo?ron"
"folic acid","??","?","?","","","","?s","san","","","","?ssan","","jo?san"
"request","??","?","?","","","","y?","chei","","","","y?chei","","jo?sei"
"appearance","??","?","?","","","","y?n","seku","","","","y?nseku","","jo?seku"
"Summary","??","?","?","","","","y?","ses","","","","y?ses","","jo?ses"
"Essential collection","??","?","?","","","","y?","s?s","","","","y?s?s","","jo?su?"
"water supply","??","?","?","","","","y?","sui","","","","y?sui","","jo?sui"
"Leaf and Branch","??","?","?","","","","?s","shi","","","","?sshi","","jo??i"
"Important points","??","?","?","","","","y?","tsi","","","","y?tsi","","jo??i"
"Caution","??","?","?","","","","y?","shin","","","","y?shin","","jo??in"
"condition","??","?","?","","","","y?n","tai","","","","y?ntai","","jo?tai"
"soil","??","?","?","","","","y?","to","","","","y?to","","jo?to"
"key location","??","?","?","","","","y?","tsi","","","","y?tsi","","jo??i"
"element","??","?","?","","","","y?","so","","","","y?so","","jo??o"
"Key points","??","?","?","","","","y?","tei","","","","y?tei","","jo??ei"
